name,lon,lat,area_ha,reason,wltype,url
"Болото Куракинское","42.16667","56.58333","1781","1c, 1d, 2a, 2c","Xp","http://www.fesk.ru/wetlands/59.html"
"Вязниковские болота","42.25","56.33333","8725","1c, 1d, 2b","Xp","http://www.fesk.ru/wetlands/60.html"
"Кряж","47.4","53.8","50","1d, 2a, 2b","U","http://www.fesk.ru/wetlands/61.html"
"Болото Кайское","47.25","60.08333","10517","1a, 2c, 2b","U","http://www.fesk.ru/wetlands/62.html"
"Болото Саламатьевское","52.91667","60.08333","10556","1b, 1c, 2b","Xp","http://www.fesk.ru/wetlands/63.html"
"Большое Камское болото","55.25","60.33333","80950","1b, 1c, 2b, 3b","Xp","http://www.fesk.ru/wetlands/64.html"
"Остров-Мороцкое","37.5","59.0","40495","1b, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/65.html"
"Болото на реке Пясине близ устья реки Тареи","90.0","73.0","7000","1b, 1c, 2b, 3b","Vt","http://www.fesk.ru/wetlands/66.html"
"Болото Кидеран","150.0","72.5","500","1c, 1d, 2b, 3b","Vt","http://www.fesk.ru/wetlands/67.html"
"Тлятовское болото","76.48333","62.35","3000","1b, 1c, 2b","U","http://www.fesk.ru/wetlands/68.html"
"Болото Дубчес","89.5","60.5","90400","1b, 1c, 2b","U","http://www.fesk.ru/wetlands/69.html"
"Большое Васюганское болото","78.0","57.0","5000000","1a, 1c, 2a, 2b","U, Xf, Xp","http://www.fesk.ru/wetlands/70.html"
"Болотная система Лотары","87.33333","58.18333","","1a, 1c, 4a","M, O, U, Xp","http://www.fesk.ru/wetlands/71.html"
"Салымо-Юганская болотная система","70.21667","60.96667","1500000","1a, 1c, 2a, 2b","U, Xf, Xp","http://www.fesk.ru/wetlands/72.html"
"Болотная система Улух-Чаях","88.5","57.38333","20000","1a, 1c","O, U","http://www.fesk.ru/wetlands/73.html"
"Болото Чилинское","84.16667","55.78333","10000","1a, 1c, 2a","M, O, P, U, Xf, Xp","http://www.fesk.ru/wetlands/74.html"
"Болота Тюхтетское и Шадатское","93.0","53.0","12000","1d, 2a, 3b","U","http://www.fesk.ru/wetlands/75.html"
"Болото Чёрное","69.1","55.36667","1000","1d, 2a, 2b","Xp","http://www.fesk.ru/wetlands/76.html"
"Индерский рям","80.05","54.51667","800","1d, 2b, 3b","U","http://www.fesk.ru/wetlands/77.html"
"Сельгоно-Харпинские болота","137.5","49.5","158000","1a, 1c, 2b, 3a","U","http://www.fesk.ru/wetlands/78.html"
"Эвурские болота","138.0","52.75","69134","1a, 1c, 2c, 3a","U","http://www.fesk.ru/wetlands/79.html"
"Тахтинское болото","139.66667","53.75","23500","1c, 1d, 2b, 3b","U","http://www.fesk.ru/wetlands/80.html"
"Система болот Крутогоровское и Большое Колпаковское","155.0","54.0","88000","1a, 1b, 1d, 2a, 2c","U","http://www.fesk.ru/wetlands/81.html"
"Болото Оссорское","162.5","59.5","700","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/82.html"
"Болото Окуто","143.85","49.5","13891","1b, 1d, 1c, 2c","U","http://www.fesk.ru/wetlands/83.html"
"Утиное болото","143.5","50.66667","4753","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/84.html"
"Болото Байкальское и Большая Марь","142.5","53.33333","18304","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/85.html"
"Новосибирские острова","145.25","75.26667","3600000","1, 2, 3, 4","A, D, E, G, H, J, M, O, Tp, Vt","http://www.fesk.ru/wetlands/86.html"
"Фьярванн (полигон Сконнинга)","29.28333","69.16667","1000","1, 3","M, O","http://www.fesk.ru/wetlands/87.html"
"Айновы острова Баренцева моря","31.58333","69.83333","1220","1, 2, 3, 4","E, D","http://www.fesk.ru/wetlands/88.html"
"Гавриловский архипелаг","36.0","69.16667","1595","1, 2, 3, 4, 6","A, D","http://www.fesk.ru/wetlands/89.html"
"Архипелаг Семь Островов","37.5","68.75","10667","1, 2, 3, 4","D","http://www.fesk.ru/wetlands/90.html"
"Торна-Шойнинское междуречье полуострова Канин","44.28333","67.95","15000","1, 2, 3, 4, 5, 6","H, E, F","http://www.fesk.ru/wetlands/91.html"
"Южное побережье Чешской губы","46.5","66.83333","130000","1, 3, 4","A, Vt","http://www.fesk.ru/wetlands/92.html"
"Река Чёрная","57.03333","68.28333","50000","1, 3, 5","M, O, Tp, W, Vt","http://www.fesk.ru/wetlands/93.html"
"Хайпудырская губа Баренцева моря","59.08333","68.7","600000","1, 5","A, B, E, Y, J","http://www.fesk.ru/wetlands/94.html"
"Коровинская губа Печорского залива","53.75","68.3","70000","1, 2, 3, 5, 6, 7, 8","K","http://www.fesk.ru/wetlands/95.html"
"Колоколкова губа","52.53333","68.36667","175000","1, 2, 3, 6","A, E, H, Tp, Vt","http://www.fesk.ru/wetlands/96.html"
"Дельта реки Печора","54.25","68.11667","100000","1, 2, 3, 4, 5, 6, 7, 8","L, O","http://www.fesk.ru/wetlands/97.html"
"Полуостров Русский Заворот","53.36667","68.68333","640000","1, 2, 3, 4, 5, 6","G, M, Vt, O, Tp","http://www.fesk.ru/wetlands/98.html"
"Остров Сенгейский и Сенгейский пролив","51.0","68.36667","30000","1, 3, 4","A, E","http://www.fesk.ru/wetlands/99.html"
"Вашуткины, Падимейские и Харбейские озёрные системы","62.58333","68.0","100000","1, 3, 4","O, Vt","http://www.fesk.ru/wetlands/100.html"
"Болванская губа","54.75","68.23333","45000","1, 3, 5","A","http://www.fesk.ru/wetlands/101.html"
"Паханческая губа","57.2","68.6","40000","1, 3, 5","A","http://www.fesk.ru/wetlands/102.html"
"Косминская система озёр","49.03333","66.15","50000","1, 3","O, Vt, M","http://www.fesk.ru/wetlands/103.html"
"Болото Юпяужсуо","32.41667","65.0","40000","1, 2, 3","U, O, Xf","http://www.fesk.ru/wetlands/104.html"
"Важинское болото","33.5","61.33333","15000","1, 3, 4","O, U, Xf","http://www.fesk.ru/wetlands/105.html"
"Верховые болота и побережье Белого моря в окрестностях деревни Нюхча","36.25","63.91667","20000","1, 2","A, B, H, M, Ts, U, Xf","http://www.fesk.ru/wetlands/106.html"
"Себежское поозёрье","28.43333","56.18333","50021","1, 2, 3","M, O, Tp, Ts, Xf, Xp, 1, 7, 9","http://www.fesk.ru/wetlands/107.html"
"Никандровское болото","29.25","57.78333","10159","1, 2","M, O, Tp, U, Xf, Xp","http://www.fesk.ru/wetlands/108.html"
"Полистово-Ловатская болотная система","30.66667","57.25","134000","1, 3, 4","Xp, U, Tp, O, M","http://www.fesk.ru/wetlands/109.html"
"Пойменное расширение реки Волхов, включая Ширинские мхи","31.9","59.16667","50000","1, 2, 3","O, Ts, Tp, M, Xp, U","http://www.fesk.ru/wetlands/110.html"
